Class Name,Class Code,Department,Units,Class Description,Class URL
Management of Information Technology,MGMT 178,Management,4 Units,"Strategic use and impact of information technology (IT) in organizations. Covers what IT is, and how it works, business value of IT, and IT strategies that organizations can employ to create value. Prerequisite: MGMT 107 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Supply Chain Management,MGMT 182,Management,4 Units,"Flows of materials and information among all of the firms that contribute to a product or service. Forecasting, demand management, logistical networks, inventory management, supplier contracting, sourcing, information technology, flexibility, globalization, and performance management. Prerequisite: MGMT 101 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Operations Management,MGMT 189,Management,4 Units,"Managing the productive resources, from which raw materials as inputs are being transformed into useful outputs of final products and services. Explanation of issues pertaining to both manufacturing and services-oriented systems. Prerequisite: MGMT 101 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Special Topics in Management,MGMT 190,Management,2-4 Units,Studies in selected areas of management. Topics addressed vary each quarter. Prerequisite: Prerequisites vary. Repeatability: Unlimited as topics vary. Restriction: Business Administration Majors have first consideration for enrollment.,https://catalogue.uci.edu/allcourses/mgmt/
Business Communication,MGMT 191W,Management,4 Units,"Provides students with a solid foundation in business communication. Emphasis is placed on improving students' written and oral communication skills to help them succeed in (1) upper-division Business Administration courses, (2) graduate school, and (3) work and career activities. Prerequisite: Satisfactory completion of the Lower-Division Writing requirement. Restriction: Business Administration Majors only. (Ib)",https://catalogue.uci.edu/allcourses/mgmt/
Business Law,MGMT 192,Management,4 Units,"A study of the legal environment of business. Topics include contracts, agency, partnerships, corporations, and other basic principles of law as they relate to business transactions. Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Financial Statement Analysis,MGMT 194,Management,4 Units,"Study of financial statements and their related footnotes; tools and procedures common to financial statement analysis; relationships among business transactions, environmental forces (political, economic, social), and reported financial statement information; how financial statement information can help solve certain business problems. Prerequisite: MGMT 30A and MGMT 30B Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Decision Analysis,MGMT 196,Management,4 Units,"Use of decision analysis digital technologies for multiple objective decisions under certainty; decision-making under risk using decision trees; fitting probability distributions to judgments or data; and Monte Carlo simulation, applied to business, government, not-for-profit, and personal decisions. Prerequisite: MGMT 101 Restriction: Business Administration Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/mgmt/
Administrative Internship,MGMT 198A,Management,4 Units,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce. Grading Option: Pass/no pass only. Repeatability: May be taken for credit 3 times.",https://catalogue.uci.edu/allcourses/mgmt/
Administrative Internship,MGMT 198B,Management,4 Units,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce. Grading Option: Pass/no pass only. Repeatability: May be taken for credit 3 times. 2737",https://catalogue.uci.edu/allcourses/mgmt/
Administrative Internship,MGMT 198C,Management,4 Units,"Selected undergraduates serve as managers within administrative units on campus with a three-quarter course which complements the intern experience. Topics include management ethics, study of non- and for-profit institutions, career management, and the changing nature of the workforce. Grading Option: Pass/no pass only. Repeatability: May be taken for credit 3 times.",https://catalogue.uci.edu/allcourses/mgmt/
Independent Study,MGMT 199,Management,1-4 Units,Individual study under the direction of a selected faculty member. Repeatability: May be repeated for credit unlimited times.,https://catalogue.uci.edu/allcourses/mgmt/
Thinking Strategically in the Digital Age,MGMTMBA 200,Management MBA,4 Units,"Focuses on the strategic and organizational challenges that a rapidly changing environment poses to the firm�s management and frames them according to Merage�s strategic emphasis on analytical decision making, innovation, and information technology. Grading Option: Satisfactory/unsatisfactory only. Restriction: Graduate students only. Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmtmba/
Business Analytics: Decision-Making,MGMTMBA 201A,Management MBA,4 Units,"Methods of statistical inference, emphasizing applications to administrative and management decision problems. Topics include classical estimation and hypothesis testing, regression, correlation, analysis of variance, decision analysis, and forecasting. Prerequisite: Courses in basic statistics with probability. Restriction: Graduate students only. Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmtmba/
Management Science,MGMTMBA 201B,Management MBA,4 Units,"An introduction to computer-based models for decision making. Topics include optimization (linear programming, integer programming, network flow models) and computer simulation. Uses spreadsheets extensively, including Excel built-in and add-in packages. Restriction: Graduate students only. Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmtmba/
Organizational Leadership for Management,MGMTMBA 202,Management MBA,4 Units,"Develops a better understanding of the causes and consequences of individual and group behavior, and the frameworks by which to analyze and understand complex organizations; and enhances the skills required to manage and lead an organization. Restriction: Graduate students only. Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmtmba/
Financial Reporting,MGMTMBA 203A,Management MBA,4 Units,"Involves the development, analysis, and interpretation of financial accounting information for external reporting purposes. Restriction: Graduate students only. Business Administration Majors only.",https://catalogue.uci.edu/allcourses/mgmtmba/
